user_name,comment
viraagstnayy,Ya ampun opet
1205.thv,jangan percaya cwo
andreohoirat,ini pelakunya lur!!
amelia.arkan_87,kenal ga? Guluuung giih ??
indnaafa,wah ada apa sama Pandeglang ni
mzdn_id,ini akunya woy
moch_yadi19,1m dikemanakan uang itu bang kalo boleh saya tau
rzilwhydn_,hadeh kacau anak muda skrng
fitrihy19,astagfirullah ada apa lg ini Pandeglang ??
louaydis,Hukum seberat beratnya klo bsa hukuman mati
mahfudfauzi_,Hruhhhh
azamkhsyr_,"Emang kudu lapor netijen aja biar kerjanya pada bener, yegak?"
sigitaldiaan_,baru keluar goa jadi gatau berita ini kudet bgt aing euyy :(
aiqbalmuhamad,Efek sistem ??
m.qditya,tolong di bantu kasus ini komandann
marbunpetruccy,Aww
yulianti1058,Harus di viralkan dulu baru respon semuanya bertindak
eka_faricha,"tolong bu, jangan biarkan kekayaan berkuasa membungkam kesalahan"
inpopandeglang,"6 tahun itu hanya untuk pelanggaran UU ITE? Laporkan lagi tentang ancaman pembunuhan, pemerkosaan & pemerasan,"
oks.ay.mg,"Bisa ga ngebolehin konser musik, tapi yang begini masih bisa lolos. ONLY PANDEGLANG"
dianpurnamasariabidin,"Foto pelaku dan kelbes beesileweran di medsosnya kurang banyak, harusnya dibuat kyk kasus risma, close up yg banyak di semua medsos. Biar jd jejak yg abadi sampe nanti pelaku jd aki2, kalo hukum di negeri ini masi bisa dibeli, buat sanksi sosial utk pelaku yg lebih keji!"
haji_ossa,"Good job lawyer, kejar terus dgn pasal² lainnya & jgn berhenti di pasal ITE aja. Kami netizen akan terus mempressure sampai kasus ini tuntas"
desyptrrmdhnh99,"Padahal nama yg di beri orang tuanya bagus, tapi sayang tak sebagus sikap nya yg bejat ?? semoga segera dapat keadilan ya buat korban ??"
ryan_mualdo,Pandeglang gada obat??????
heyrosid,"untuk  semoga hukum berjalan sebagai mana mestinya yaa, oh yaa katanya ada upaya untuk mendamaikan kasus ini yaa?? tolong klarifikasi nyaa"
shakenlemonadetea,"Aw rame nihhhhhh jadinya, buat keluarga korban jangan tinggal diam! Ini bukan soal PENCEMARAN NAMA BAIK TAPI MENTAL SEORANG KORBAN! Dan bukan soal MAU sama MAU tp ini SOAL KEKERASAN DAN PEMERASAN! Kalian yang mengerti hukum seharusnya lebih paham, apalagi punya anak(perempuan)."
sandymjhd_,kacauuu org”yg ga berakal??
ismarosmiyanti22,Masa mau viral lagi ibu?? mohon bantuannya untuk dikawal ibu
mikdadiqbal92,"Women support women tai kucing, perlu digaris bawahi kejadian ini dan sebelumnya terjadi ketika Gubernur, Bupati, Kepala pengadilan & jaksa nya adalah WOMEN !"
mybabygirllllllll,"HAHA sebagai orang yg tau pelaku kaya apa, dan teman saya adalah korban dari kiriman vidio pelaku msi aneh dgn steatment nya yg dividio atas dasar persetujuan dan alwi belum sebar apalg kau sm mau.NGAKAK JUJUR pasti org yang dilingkungan alwi.tanya shbt alwi nya gih?? jgn jaooh2 PLIS PIN INI. FITNAH ITU KASIAN KORBAN"
allfannnn,HUKUM yang bisa dipercaya di INDONESIA cuma HUKUM KARMA!
mahesaikbal2,Bantu dong tolonggg??
igustijw,"""Memang begitu Anak Orang Kaya (pejabat) lagunya suka Tengil, Kayak Duit Bapaknya Halal Aja!”  Kasino DKI ??"
nisaajauhar,"Tolong bantu pak, usung tuntas sampai kehukuman yang seadil adilnya. 3 tahun loh, bukan waktu yang singkat. Gimana kondisi psikologis si ceweknya, pak tolong cuma kamu yg paling dabest dalam soal peradilan ????"
alsaratu_,"Ayooo kawal kasus ini, tadi pagi udh ada persidangan tapi terdakwa dan jaksanya secara online (via zoom) sedangkan korban secara offline dan ini persidangan berjalan sangat tertutup. Ada apakah di balik ini? Jadi greget sama kasus ini dari semalem rame di twitter sampe skrg pun msh trending si alwi??"
ryokun41,"Laki kok mukulin wanita sampe sgtunya, bukan tandingan mu itu, berantem ama laki lg lah, laki tanding kalo sebanding"
siarifpai,"Cik atuh ormas nu sok make batu akik, kalung tasbeh geura karumpul"
gianyyss,Mohon di beri pelajaran Bu
ysxzhun,up aja muka pelakunya biar kema sanksi sosial
aisslatte__,dikuliahin bukannya makin bener malah makin gabener
bugelmegacamara,pandeglang maning pandeglang maning ??
sanbo.id,Beritane ahir2 ini kok serem2 yaa
okki.ezz,Lah klo gini mending matiin aja pelaku. Bodo amat sma hukum. Dari pada dia bebas berkeliaran
ndr_frn,"bantu up nya kasihan sekali, beritanya"
anwvrxyz,Anjing juga ni orang
iballl.ee,Muka nya kek hewan nya upin ipin si opet
nurjanah5298,Oalah anak untirrrrrrrrr
lita.awallani,Pelaku dikasih makan dr duit apa sih ampe ounya kelakuan begitu....??
dhestaauliaa,siapa yg mau jd pacarnya Ale??
americano4.0,BU TOLONGIN BU??
dwisamsulrizal40,ijin pak bisa di up kali pak ini udah keterlaluan
instaherry,Boleh kali om dibantu
r_ads22,Laiyeee wong sugih kewakehane konon bekasee digean mangan Karo duit ore bener jadi anake geh ore bener
rikameiilani,"Bapaknya sudah mninggal. Ada yg tau ig ibu sma kakak""y ngga. Biar netizen silaturahmi skalian kena mental. Biar sdikit ksh adil aja kirban kena mental ya pelaku dn jeluarga juga harusnya.  Hayooo ada yg tau ga IG sodara"" kandungnya ?? Wkwkwkw kzlll bngt bacaknyaaa."
hyo_naabi,"Keknya si pelaku ini emang punya banyak link. Makanya slow aja, nanti klo udah jeblos penjara abis di dalem  mantep banget itu"
sanji_4646,Dear netijen baiknya baca thread lengkepnya dulu yaa
ajibtn,Kawal terus sampe tuntas??
caa.ayy,kamu mau jadi pacar nya ale???
rahmatikarrrrr,a punten liat kasian banget
thekingdom.merch,jangan lupa ke pasar badak beli intisari
tohaum312,Kyk nya si pelaku anak pejabat atau anak aparat.. atau bisa jadi anak org berpunya.. pasti aja sih ada suap menyuap mah. Udh pasti ??
ransyah681,ini yg namanya kota santri ????? mana keadilanya pak buk kasian keluarganya kita aja nyesek bacanya masa gak ada tindakan sama sekali ??mantap pokoknya pandeglang semakin kotor nama nya
